date_time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,long,lat
2016-01-24 11:18:03+00,ped,Intersection,,HARBOR VIEW ST,DORCHESTER AVE,776054.550000000000,2941068.380000000000,-71.0567153856428,42.317586850789695
2016-04-23 13:18:42+00,ped,Street,NASSAU ST,ASH ST,HARRISON AVE,774305.240000000000,2952361.440000000000,-71.06286693318526,42.34880940135704
2023-01-20 22:36:40+00,ped,Intersection,,MELNEA CASS BLVD,MASSACHUSETTS AVE,771888.400000000000,2946525.630000000000,-71.07201818804987,42.33262014368461
2016-09-28 01:27:06+00,mv,Intersection,,CURTIS ST,WILLIAM F MCCLELLAN HWY,785444.680000000000,2965128.940000000000,-71.02149707309938,42.38347025912211
2024-02-28 04:33:58+00,ped,Intersection,,HAMPDEN ST,MELNEA CASS BLVD,771134.720000000000,2946002.190000000000,-71.07481517929324,42.33119414860143
2021-01-05 11:30:59+00,ped,Intersection,,CHELSEA ST,RUTHERFORD AVE,774509.730000000000,2960509.690000000000,-71.0620581690897,42.37095621702965
2021-12-26 19:09:47+00,mv,Street,PARK ST,MARLOWE ST,UPLAND AVE,774155.790000000000,2933755.230000000000,-71.06394660156124,42.29768429631769
2020-01-07 20:41:11+00,ped,Intersection,,MASSACHUSETTS AVE,MELNEA CASS BLVD,771859.870000000000,2946498.890000000000,-71.07212419686832,42.33254716094328
2022-04-04 00:52:46+00,ped,Intersection,,KNEELAND ST,HUDSON ST,775040.180000000000,2952982.160000000000,-71.06023883235669,42.35029305862062
2025-01-05 00:59:26+00,ped,Street,CAMBRIDGE ST,LINDEN ST,LINCOLN ST,756253.910000000000,2955215.530000000000,-71.1296926056603,42.356654785381146
2023-03-26 17:03:33+00,ped,Street,WASHINGTON ST,ELVEN RD,COLGATE RD,758817.900000000000,2932103.950000000000,-71.12078806296036,42.29333761519639
2018-07-03 14:50:20+00,mv,Intersection,,BOSTON ST,CLAPP ST,774874.550000000000,2942806.640000000000,-71.06104527431752,42.32237345284089
2025-01-12 09:24:13+00,ped,Street,DORCHESTER AVE,BOSTON ST,GENERAL WILLIAM H DEVINE WAY,776032.710000000000,2945335.440000000000,-71.05695725997023,42.329289656059046
2020-09-06 16:59:05+00,mv,Intersection,,W FIRST ST,E ST,778620.860000000000,2949151.140000000000,-71.04706795221954,42.33972922713294
2025-05-11 00:28:24+00,mv,Street,WALK HILL ST,HARVARD ST,ALMONT ST,764819.220000000000,2928028.020000000000,-71.09863160876505,42.28179736333694
2021-08-12 12:45:42+00,mv,Intersection,,PARK ST,CENTRE ST,749127.120000000000,2929117.110000000000,-71.15645611817698,42.28513266678874
2016-08-13 23:07:01+00,ped,Intersection,,WARREN ST,INTERVALE ST,768963.910000000000,2939065.380000000000,-71.08296875647564,42.31218865254138
2016-04-16 22:15:32+00,ped,Intersection,,BENNINGTON ST,SARATOGA ST,789395.330000000000,2966327.460000000000,-71.00684901538774,42.38669724410582
2017-04-09 18:33:45+00,mv,Street,WOOD AVE,MARIPOSA ST,RUSKINDALE RD,761677.790000000000,2923836.370000000000,-71.11016840580712,42.27049401413267
2023-07-11 09:37:48+00,mv,Intersection,,WARREN ST,DALE ST,769266.800000000000,2942191.530000000000,-71.081792268557,42.320762884424774
2015-12-03 18:18:40+00,ped,Intersection,,COMMONWEALTH AVE,HARRY AGGANIS WAY,759284.140000000000,2953366.160000000000,-71.118519602163,42.35155490303128
2018-11-29 23:51:54+00,ped,Street,BROADWAY ,G ST,H ST,779986.980000000000,2947688.670000000000,-71.0420399913006,42.3355168265139
2021-05-12 14:22:41+00,mv,Intersection,,WALK HILL ST,AMERICAN LEGION HWY,762596.780000000000,2930098.860000000000,-71.106661684122,42.28766699926072
2020-08-15 23:27:42+00,ped,Intersection,,ASHMONT ST,DORCHESTER AVE,774061.770000000000,2929462.640000000000,-71.06430274246804,42.28576827852793
2019-03-09 12:21:50+00,ped,Street,LONDON ST,MERIDIAN ST,GEORGE R. VISCONTI RD,780901.660000000000,2961531.010000000000,-71.03850136667936,42.373743538644476
2025-08-06 11:18:26+00,ped,Intersection,,HUNTINGTON AVE,DARTMOUTH ST,770540.100000000000,2952597.160000000000,-71.07689323350004,42.34929906846397
2024-03-31 20:36:18+00,mv,Intersection,,KING ST,DORCHESTER AVE,774510.990000000000,2931681.860000000000,-71.06260056171318,42.291851640587666
2022-06-11 02:08:19+00,mv,Intersection,,TREMLETT ST,WASHINGTON ST,771974.920000000000,2932611.120000000000,-71.07195645658328,42.294436888522384
2016-11-28 22:59:25+00,mv,Intersection,,BYRON ST,WILLIAM F MCCLELLAN HWY,785839.590000000000,2965621.890000000000,-71.02002513742846,42.3848168230885
2018-02-08 22:31:13+00,ped,Intersection,,MASSACHUSETTS AVE,NEWBURY ST,767503.410000000000,2952151.900000000000,-71.08813477346843,42.34811804821059
2023-07-18 21:30:00+00,ped,Street,WOOD AVE,TACOMA ST,TINA AVE,761291.540000000000,2923037.320000000000,-71.1113451791808,42.26824135015054
2021-12-15 06:20:47+00,ped,Street,WASHINGTON ST,SHEPARD ST,CAMBRIDGE ST,750743.560000000000,2952083.670000000000,-71.14983736542295,42.34828469675084
2015-09-12 03:13:04+00,mv,Intersection,,HYDE PARK AVE,WALK HILL ST,760016.470000000000,2933138.580000000000,-71.1161471602017,42.29604044651049
2017-04-30 03:19:11+00,bike,Intersection,,CLARENDON ST,COMMONWEALTH AVE,770731.600000000000,2953817.160000000000,-71.07616239461876,42.352644170415445
2021-03-12 21:40:32+00,ped,Street,CHESTNUT HILL AVE,EMBASSY RD,CHISWICK RD,749463.420000000000,2949624.510000000000,-71.15468078289963,42.34132277292787
2025-10-05 21:38:24+00,ped,Street,HUNTINGTON AVE,CRAFTSON WAY,HEATH ST,761255.220000000000,2945359.080000000000,-71.11109551286684,42.32962350766265
2021-02-09 01:03:34+00,mv,Street,CHELSEA ST,E EAGLE ST,BECK ST,784555.600000000000,2964568.790000000000,-71.02479191627789,42.38194217412896
2019-03-20 20:38:28+00,ped,Intersection,,MELNEA CASS BLVD,WASHINGTON ST,769445.790000000000,2946609.710000000000,-71.08105018996379,42.33288413870876
2025-09-25 13:59:49+00,ped,Intersection,,MERIDIAN ST,SARATOGA ST,780704.540000000000,2962232.790000000000,-71.03909955673343,42.37559485028072
2023-12-19 10:08:09+00,bike,Intersection,,HANO ST,CAMBRIDGE ST,754473.450000000000,2954254.910000000000,-71.13630238379989,42.35405132476076
2015-07-03 22:38:02+00,ped,Intersection,,MELNEA CASS BLVD,SHAWMUT AVE,769049.340000000000,2946951.060000000000,-71.08251021213488,42.3338261496791
2024-08-23 19:04:45+00,ped,Intersection,,E BROADWAY,H ST,780117.310000000000,2947633.400000000000,-71.04156317945404,42.33554256849514
2015-11-24 19:07:26+00,mv,Intersection,,BENNINGTON ST,TRIDENT ST,788441.240000000000,2965884.930000000000,-71.01038994057303,42.38549802767471
2015-07-30 23:05:45+00,mv,Street,CAMBRIDGE ST,SPICE ST,RAMP,770623.400000000000,2965350.100000000000,-71.0757950856997,42.38341901074527
2025-09-29 00:22:17+00,ped,Street,HYDE PARK AVE,AMERICAN LEGION HWY,RAMSDELL AVE,759079.290000000000,2925057.180000000000,-71.11996192790174,42.273889184135314
2024-02-27 18:44:24+00,mv,Intersection,,WASHINGTON ST,BEXLEY RD,757281.890000000000,2930256.360000000000,-71.12630134202719,42.28816476666642
2015-09-23 17:11:49+00,mv,Intersection,,ALBANY ST,TRAVELER ST,774560.110000000000,2950701.900000000000,-71.06205808521851,42.34404274573892
2017-11-03 13:53:29+00,bike,Street,COTTAGE ST,ROBEY ST,NORFOLK AVE,773096.720000000000,2942360.280000000000,-71.0676265775401,42.32126356264336
2015-05-07 10:34:13+00,ped,Street,BLUE HILL AVE,BABSON ST,FAIRWAY ST,766045.150000000000,2923666.840000000000,-71.09377074041203,42.269974015530686
2022-07-26 00:45:19+00,mv,Intersection,,TONAWANDA ST,GREENBRIER ST,772296.040000000000,2933792.620000000000,-71.07074759534144,42.29767456293131
2020-04-22 09:10:26+00,bike,Intersection,,HARRISON AVE,MASSACHUSETTS AVE,771043.070000000000,2947377.920000000000,-71.07512877861727,42.33497045406834
2020-08-11 00:27:23+00,mv,Street,WOOD AVE,CUMMINS HWY,NOAH ST,761610.640000000000,2924336.260000000000,-71.11041220075654,42.271865464109595
2024-03-24 17:06:13+00,ped,Intersection,,CONGRESS ST,SLEEPER ST,777861.680000000000,2953341.410000000000,-71.04979414048239,42.35123845728627
2022-05-29 20:07:50+00,ped,Intersection,,CAMBRIDGE ST,BLOSSOM ST,773218.260000000000,2956962.900000000000,-71.06690396060965,42.36124187011271
2017-01-07 17:47:05+00,ped,Intersection,,HILLSIDE ST,SUNSET ST,762065.590000000000,2946199.390000000000,-71.10835158183366,42.331854434100045
2024-09-28 15:07:06+00,mv,Intersection,,WASHINGTON ST,NORTHAMPTON ST,770361.850000000000,2947751.540000000000,-71.0776413921357,42.336004963994455
2022-07-26 22:18:29+00,bike,Street,BENNETT ST,PARSONS ST,S HOBART ST,748876.550000000000,2953392.040000000000,-71.15701917777446,42.35190698588716
2022-05-12 23:49:24+00,ped,Street,BENNINGTON ST,PORTER ST,LONDON ST,781131.930000000000,2962121.180000000000,-71.03757774695279,42.37536793206018
2021-12-08 23:28:36+00,mv,Street,TALBOT AVE,NIGHTINGALE ST,WALES ST,768797.380000000000,2932427.460000000000,-71.08385441866353,42.293698919689625
2020-09-17 17:27:22+00,mv,Intersection,,AMERICAN LEGION HWY,CLARE AVE,759279.220000000000,2924559.710000000000,-71.11901380372356,42.272508496701015
2019-09-11 20:47:39+00,ped,Intersection,,MELCHER ST,SUMMER ST,777541.630000000000,2953067.440000000000,-71.05098346627119,42.35049130716542
2019-04-24 01:59:18+00,ped,Intersection,,WILLIAM F MCCLELLAN HWY,CURTIS ST,785444.680000000000,2965128.940000000000,-71.02149707309938,42.38347025912211
2015-08-07 07:05:28+00,bike,Intersection,,BEACON ST,MASSACHUSETTS AVE,767133.970000000000,2953148.660000000000,-71.0894836662669,42.350858072765824
2024-11-16 01:16:47+00,ped,Intersection,,A ST,W BROADWAY,776337.870000000000,2949908.400000000000,-71.05549749653231,42.341840125671645
2016-12-08 22:25:05+00,ped,Intersection,,MASSACHUSETTS AVE,THEODORE A GLYNN WAY,772485.500000000000,2945696.260000000000,-71.06982539785136,42.330336080224654
2016-11-18 23:44:42+00,ped,Street,QUINCY ST,DACIA ST,PERTH ST,770447.120000000000,2939714.810000000000,-71.07748505481128,42.31393766780588
2025-01-18 15:07:42+00,mv,Street,RIVER ST,HILLIS RD,ELLIS ST,756028.530000000000,2916432.510000000000,-71.13090582003008,42.25023657920695
2025-04-28 14:43:20+00,ped,Street,WASHINGTON ST,CHITTICK RD,GLENWOOD AVE,758541.720000000000,2914450.140000000000,-71.12203070415511,42.244900986105954
2020-09-29 10:47:40+00,ped,Intersection,,DORCHESTER AVE,SOUTHAMPTON ST,775953.030000000000,2945415.000000000000,-71.05700727981439,42.32951559009473
2021-09-25 20:30:39+00,mv,Intersection,,HYDE PARK AVE,RAMSDELL AVE,759147.810000000000,2926139.820000000000,-71.11947329265959,42.276846047604515
2023-09-08 00:12:48+00,ped,Street,STUART ST,TRINITY PL,CLARENDON ST,771028.150000000000,2952326.060000000000,-71.07517018175425,42.34868019193739
2015-08-15 02:23:48+00,mv,Street,ATLANTIC AVE,KNEELAND ST,BEACH ST,775890.160000000000,2952998.630000000000,-71.05671804852179,42.35022655385749
2020-06-09 07:33:54+00,bike,Intersection,,CUMMINS HWY,RICHMERE RD,764251.850000000000,2923846.120000000000,-71.10065325073569,42.27048793405695
2020-03-16 14:54:47+00,ped,Intersection,,ALBANY ST,MASSACHUSETTS AVE,771507.330000000000,2946877.510000000000,-71.07342099408642,42.33359095305056
2018-11-07 07:06:09+00,ped,Intersection,,STIMSON ST,WASHINGTON ST,748629.070000000000,2920015.650000000000,-71.15843137994872,42.260163004579226
2017-01-01 06:01:43+00,ped,Street,SARATOGA ST,PUTNAM ST,BROOKS ST,782528.610000000000,2963116.040000000000,-71.03239542547914,42.37808562070123
2022-10-04 20:57:38+00,ped,Street,SPRING ST,CENTRE ST,ALARIC ST,747691.330000000000,2926586.890000000000,-71.16164438252093,42.277841701207294
2015-07-11 01:42:38+00,ped,Street,BRIGHTON AVE,CHESTER ST,LINDEN ST,756345.130000000000,2953860.230000000000,-71.12942928550817,42.352743614905044
2017-03-10 23:49:55+00,ped,Street,WASHINGTON ST,MASSACHUSETTS AVE,NORTHAMPTON ST,770347.250000000000,2947871.800000000000,-71.07743670405827,42.3361456008615
2018-06-06 12:50:00+00,ped,Street,COMMONWEALTH AVE,REDFORD ST,GRIGGS ST,755018.680000000000,2952144.650000000000,-71.13447109234244,42.34842741593963
2021-10-16 10:26:47+00,ped,Intersection,,NEWMARKET SQ,THEODORE A GLYNN WAY,772833.210000000000,2945873.090000000000,-71.06853619781843,42.33081648893694
2020-11-01 07:49:35+00,mv,Street,COLUMBIA RD,GLENDALE ST,BIRD ST,773017.700000000000,2939493.190000000000,-71.06797050756096,42.313306286628894
2016-04-10 19:45:43+00,mv,Intersection,,ELM HILL AVE,SEAVER ST,767333.100000000000,2937399.370000000000,-71.08902773138448,42.30763875685615
